V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
1585,1395,1607,595,1320,400,317,1405,571,791,448,1323,551,1138,582,754,1172,1067,443,1180,852,829,1052,696,864,468,407,696,1,1
1658,1342,1602,533,1291,406,298,1405,685,848,324,1380,576,1180,426,580,1169,1224,679,1173,839,812,1053,804,967,485,409,691,1,1
997,1655,894,952,1154,333,131,1738,305,297,1073,703,607,625,565,281,285,423,1014,1223,923,735,1033,667,1035,512,469,714,0,0
1658,1371,1550,558,1313,409,307,1406,707,785,363,1296,472,1148,756,740,1178,1181,679,1182,853,856,1047,432,983,526,407,691,0,1
1680,1354,1502,491,1313,401,310,1397,772,759,381,1427,817,1092,538,709,1195,1117,827,1189,848,813,1055,733,913,549,404,690,7,1
1552,1313,1457,499,1309,405,351,1367,704,812,271,1317,566,1256,593,651,1111,1104,972,1151,856,1045,1049,509,811,481,435,706,48,1
1622,1389,1578,694,1324,404,323,1394,544,879,274,1284,499,1220,374,728,1084,1067,512,1181,864,949,1042,637,963,661,394,675,1,1
1653,1381,1557,684,1311,407,306,1411,619,807,636,1287,235,1108,631,786,1232,1271,543,1180,855,848,1052,629,949,611,406,692,0,1
1681,1383,1500,771,1327,426,309,1408,584,848,465,1378,716,1059,307,790,1184,1269,611,1183,856,889,1050,556,951,647,405,689,1,1
698,1757,667,979,1089,324,87,1889,337,350,910,875,758,830,550,371,409,456,928,1226,925,664,1018,678,1109,516,457,710,0,0
1510,1272,1602,646,1324,394,310,1403,668,768,390,1320,711,1105,819,742,1172,1346,843,1231,880,908,1093,576,941,541,395,691,35,1
1682,1375,1558,783,1312,411,306,1400,744,878,388,1146,858,1310,377,756,1128,1095,525,1178,849,845,1059,593,897,546,403,687,0,1
1625,1358,1543,692,1324,403,308,1398,553,915,314,1304,649,1229,593,677,1164,1047,1086,1191,868,967,1062,835,784,1456,396,697,0,1
1590,1369,1550,422,1315,425,292,1334,495,826,493,1293,539,1194,676,752,1222,1086,1201,1204,818,981,1049,324,912,656,403,696,2,1
1593,1355,1608,574,1305,430,322,1401,653,811,336,1311,638,1212,845,673,1131,1171,985,1204,868,941,1063,464,904,577,403,687,19,1
1544,1428,1543,517,1313,437,287,1230,861,765,265,1332,457,979,372,734,1278,1342,678,1155,1088,735,1066,401,934,486,406,687,1,1
1518,1381,1606,692,1312,418,327,1337,701,1003,504,1306,573,1154,768,645,1136,980,875,1164,876,898,1058,787,856,562,302,703,7,1
1582,1313,1561,554,1280,428,339,1396,785,703,450,1321,426,1088,710,626,1288,1216,1024,1224,872,918,1100,690,935,517,393,682,51,1
1408,1251,1567,599,1347,372,285,1329,780,814,417,1296,317,1159,740,772,1168,1102,598,1096,897,764,1033,675,890,438,478,685,21,1
1603,1388,1471,437,1312,403,353,1379,620,687,382,1305,635,1062,562,712,1242,1258,734,1185,860,921,1041,440,1059,544,405,681,32,1
1516,1424,1454,785,1286,375,254,1427,404,536,816,780,617,759,719,253,381,464,1281,1204,898,924,1045,713,894,551,448,738,1,0
1599,1386,1588,534,1317,411,313,1409,620,785,589,1350,484,1160,680,715,1188,1239,841,1185,858,884,1048,542,937,518,402,690,0,1
1512,1357,1587,488,1316,385,313,1398,756,875,434,1362,672,1152,710,731,1126,1070,808,1169,823,813,1091,725,959,648,455,689,0,1
1680,1393,1491,803,1323,398,315,1400,549,831,586,1337,491,1037,344,795,1253,1273,550,1181,850,828,1054,587,930,586,404,690,0,1
1613,1251,1482,474,1292,398,324,1392,841,751,508,1433,402,1273,514,650,1132,1179,915,1226,882,846,1027,669,904,231,398,695,73,1
1653,1383,1558,683,1313,407,307,1409,601,805,659,1337,425,1093,614,782,1228,1250,542,1182,855,859,1051,637,954,610,406,692,0,1
1601,1326,1499,686,1316,410,325,1401,617,809,542,1336,422,1184,594,650,1238,1290,1156,1213,873,918,1090,762,848,491,404,695,30,1
1681,1386,1513,798,1320,412,306,1406,625,819,390,1287,616,990,542,823,1241,1326,420,1182,863,938,1052,720,927,676,407,691,0,1
1653,1368,1595,665,1308,423,305,1411,629,854,551,1453,660,1214,410,709,1122,1014,691,1182,849,833,1055,646,951,553,406,690,0,1
1561,1419,1450,579,1314,384,289,1427,439,562,804,1095,568,862,497,518,919,978,1066,1198,880,901,1041,763,938,856,428,704,0,0
1591,1373,1604,439,1301,402,315,1407,681,757,591,1326,364,1143,600,783,1149,1289,652,1182,860,889,1050,738,889,699,403,690,9,1
1546,1397,1567,527,1319,401,295,1318,694,809,436,1276,300,1155,787,698,1259,1153,859,1163,962,745,1049,623,877,753,431,696,0,1
1577,1313,1596,529,1294,424,323,1405,681,808,557,1297,280,1248,744,704,1128,1223,874,1212,878,949,1087,637,880,808,392,681,34,1
1565,1328,1565,547,1435,317,198,1392,887,919,577,1246,496,1428,440,610,1222,914,530,1154,899,737,594,440,541,399,433,708,0,1
1645,1360,1465,523,1272,392,252,1429,522,634,826,954,520,867,496,499,599,565,1071,1198,897,983,1055,640,908,574,439,704,1,0
